# HD, HR, Flamsteed, Bayer, RA, Dec, Vmag, B-V
# data from BSC catalogue
# RA between 270 and 310, Dec between 34 and 55, Vmag<6.0
189178 | 7628 |        |        | 299.3079 | 40.3681 | 5.45 | -0.10 |
189684 | 7646 |        |        | 299.8354 | 45.7722 | 5.92 |  0.16 |
189687 | 7647 | 25 Cyg |        | 299.9800 | 37.0428 | 5.19 | -0.17 |
190147 | 7660 | 26 Cyg |        | 300.3400 | 50.1047 | 5.05 |  1.11 |
191026 | 7689 | 27 Cyg |        | 301.5908 | 35.9725 | 5.36 |  0.85 |
191195 | 7697 |        |        | 301.5575 | 53.1658 | 5.85 |  0.39 |
191610 | 7708 | 28 Cyg |        | 302.3567 | 36.8397 | 4.93 | -0.13 |
192514 | 7730 | 30 Cyg |        | 303.3250 | 46.8158 | 4.83 |  0.09 |
192577 | 7735 | 31 Cyg |        | 303.4079 | 46.7414 | 3.79 |  1.28 |
192640 | 7736 | 29 Cyg |        | 303.6333 | 36.8064 | 4.97 |  0.14 |
192909 | 7751 | 32 Cyg |        | 303.8679 | 47.7144 | 3.98 |  1.52 |
192985 | 7756 |        |        | 304.0025 | 45.5794 | 5.91 |  0.38 |
193092 | 7759 |        |        | 304.2304 | 40.3650 | 5.24 |  1.65 |
193237 | 7763 | 34 Cyg |        | 304.4467 | 38.0331 | 4.81 |  0.42 |
193322 | 7767 |        |        | 304.5292 | 40.7322 | 5.84 |  0.10 |
193369 | 7769 | 36 Cyg |        | 304.6192 | 37.0000 | 5.58 |  0.06 |
193370 | 7770 | 35 Cyg |        | 304.6629 | 34.9828 | 5.17 |  0.65 |
194093 | 7796 | 37 Cyg |  γ Cyg | 305.5571 | 40.2567 | 2.20 |  0.68 |
194152 | 7798 |        |        | 305.5225 | 45.7950 | 5.58 |  1.08 |
194193 | 7800 |        |        | 305.6887 | 41.0261 | 5.93 |  1.60 |
194335 | 7807 |        |        | 305.9350 | 37.4764 | 5.90 | -0.20 |
195050 | 7826 | 40 Cyg |        | 306.8929 | 38.4403 | 5.62 |  0.06 |
195068 | 7828 | 43 Cyg |        | 306.7596 | 49.3833 | 5.69 |  0.26 |
195324 | 7835 | 42 Cyg |        | 307.3350 | 36.4547 | 5.88 |  0.52 |
195556 | 7844 | 45 Cyg | ω¹ Cyg | 307.5146 | 48.9517 | 4.95 | -0.09 |
195774 | 7851 | 46 Cyg | ω² Cyg | 307.8283 | 49.2203 | 5.44 |  1.55 |
196093 | 7866 | 47 Cyg |        | 308.4758 | 35.2508 | 4.61 |  1.60 |
196178 | 7870 |        |        | 308.4788 | 46.6939 | 5.78 | -0.16 |
